date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change,hour,dow,is_weekend
2025-09-27 05:51:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,5,5,1
2025-09-27 05:56:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,5,5,1
2025-09-27 06:01:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,6,5,1
2025-09-27 06:06:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,6,5,1
2025-09-27 06:11:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,6,5,1
2025-09-27 06:16:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,6,5,1
2025-09-27 06:21:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,6,5,1
2025-09-27 06:26:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,6,5,1
2025-09-27 06:31:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,6,5,1
2025-09-27 06:36:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,6,5,1
2025-09-27 06:41:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,6,5,1
2025-09-27 06:46:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,6,5,1
2025-09-27 06:51:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,6,5,1
2025-09-27 06:56:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,6,5,1
2025-09-27 07:01:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,7,5,1
2025-09-27 07:06:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,7,5,1
2025-09-27 07:11:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,7,5,1
2025-09-27 07:16:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,7,5,1
2025-09-27 07:21:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,7,5,1
2025-09-27 07:26:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,7,5,1
2025-09-27 07:31:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,7,5,1
